scan-time,itemid,modifier,player,duration,quantity,minbid,buyout
1.20527063026279,8182,,Elderling,4,1,190,200
1.20527063026279,8182,,Proc,3,1,100,
1.20527063026279,4562,585,Thunderaan,3,1,500,900
1.20527063026279,2976,,Lerwick,3,1,1056,2000
1.20527063026279,3654,,Slowpoke,3,1,1000,1500
1.20527063026279,8178,840,Sonya,3,1,459,1200
1.20527063026279,14091,19,Tribull,2,1,750,1000
1.20527063026279,3282,,Purecabbage,3,1,352,1000
1.20527063026279,3282,,,3,1,352,800
1.20527063026279,3282,,Theegg,3,1,952,1000
1.20527063026279,15969,1951,Belrog,4,1,1599,1999
1.20527063026279,2073,14,Toxicbogan,4,1,7517,7575
1.20527063026279,2073,14,Straawbella,3,1,1900,2000
1.20527063026279,2073,14,Toastybacon,3,1,2499,
1.20527063026279,2073,14,Vew,3,1,2000,2000
1.20527063026279,17056,,Briarthorn,4,7,300,
1.20527063026279,17056,,Shenanigans,3,1,80,90
1.20527063026279,17056,,Shenanigans,3,1,80,90
1.20527063026279,17056,,Suno,3,4,120,120
1.20527063026279,17056,,Drinksalot,3,5,400,400
1.20527063026279,17056,,Drinksalot,3,5,400,400
1.20527063026279,17056,,Drinksalot,3,5,400,400
1.20527063026279,17056,,Ftj,3,5,795,795
1.20527063026279,17056,,Ftj,3,1,159,159
1.20527063026279,17056,,Ftj,3,1,159,159
1.20527063026279,17056,,Ftj,3,1,159,159
1.20527063026279,17056,,Dalketa,3,13,1020,1200
1.20527063026279,17056,,Hardened,3,19,2099,
1.20527063026279,17056,,Trunk,3,1,89,90
1.20527063026279,17056,,Trunk,3,1,89,90
1.20527063026279,17056,,Bozu,4,1,100,100
1.20527063026279,17056,,Shraz,4,2,192,204
1.20527063026279,17056,,Spokey,3,2,80,80
1.20527063026279,17056,,Executie,3,7,259,273
1.20527063026279,17056,,Inve,1,9,900,
1.20527063026279,17056,,,2,1,83,88
1.20527063026279,17056,,,2,1,83,88
1.20527063026279,17056,,,3,4,300,300
1.20527063026279,17056,,Totum,4,1,88,89
1.20527063026279,17056,,Tassieoak,3,3,99,99
1.20527063026279,17056,,Viscera,3,1,100,100
1.20527063026279,17056,,Hotface,1,8,264,280
1.20527063026279,17056,,Rat,3,3,200,300
1.20527063026279,17056,,Slashdancie,4,1,100,200
1.20527063026279,17056,,Loota,4,1,100,150
1.20527063026279,17056,,Brendun,3,2,120,125
1.20527063026279,17056,,Jelloshock,4,1,140,160
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Niathul,3,1,1499,1499
1.20527063026279,4238,,Easypickings,4,1,798,799
1.20527063026279,4238,,,3,1,300,499
1.20527063026279,4238,,,3,1,300,499
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Zilyana,2,1,522,550
1.20527063026279,4238,,Yetti,3,1,1550,1550
1.20527063026279,4238,,Yetti,3,1,1550,1550
1.20527063026279,4238,,Yetti,3,1,1550,1550
1.20527063026279,4238,,Yetti,3,1,1550,1550
1.20527063026279,4238,,Fortitudinem,3,1,699,
1.20527063026279,4238,,Fortitudinem,3,1,699,
1.20527063026279,4238,,Fortitudinem,3,1,699,
1.20527063026279,4238,,Fortitudinem,3,1,699,
1.20527063026279,4238,,Fortitudinem,3,1,699,
1.20527063026279,4238,,Kannabus,3,1,1500,1999
1.20527063026279,4238,,Dishes,3,1,1000,1500
1.20527063026279,4238,,Dishes,3,1,1000,1500
1.20527063026279,4238,,Dishes,3,1,1000,1500
1.20527063026279,4238,,Ethernay,4,1,1000,1400
1.20527063026279,4238,,Ethernay,4,1,1000,1400
1.20527063026279,4238,,Ethernay,4,1,1000,1400
1.20527063026279,4238,,Swine,2,1,100000,
1.20527063026279,4238,,Swine,2,1,100000,
1.20527063026279,4238,,Swine,2,1,100000,
1.20527063026279,4238,,Swine,2,1,100000,
